study,year,location,state,elevation,region,inc_check,fungicide2,design_inc,mean_inc,mean_inc_qmr,mean_inc_sd
1,2008/2009,Montividiu,GO,921,Northern,76,AACHECK-0,2,76,86.702275,5.597618541
1,2008/2009,Montividiu,GO,921,Northern,76,DIMO+BOSC-2,2,28,86.702275,3.304037934
1,2008/2009,Montividiu,GO,921,Northern,76,FLUO-2,2,27,86.702275,7.071067812
1,2008/2009,Montividiu,GO,921,Northern,76,FLUZ-2,2,26,86.702275,6.701989754
1,2008/2009,Montividiu,GO,921,Northern,76,PROCY-2,2,40,86.702275,9.53502316
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,AACHECK-0,2,53,131.385179,6.655824517
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,DIMO+BOSC-2,2,7,131.385179,6.574986857
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,FLUO-2,2,15,131.385179,6.049081021
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,FLUZ-2,2,8,131.385179,4.100694188
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,PROCY-2,2,16,131.385179,6.52537055
3,2008/2009,Silvânia,GO,1050,Northern,65,AACHECK-0,2,65,170.503401,17.3781472
3,2008/2009,Silvânia,GO,1050,Northern,65,DIMO+BOSC-2,2,25,170.503401,15.82116199
3,2008/2009,Silvânia,GO,1050,Northern,65,FLUO-2,2,23,170.503401,12.7667537
3,2008/2009,Silvânia,GO,1050,Northern,65,FLUZ-2,2,26,170.503401,13.62531345
3,2008/2009,Silvânia,GO,1050,Northern,65,PROCY-2,2,25,170.503401,6.878468822
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,AACHECK-0,2,69,169.021567,14.1807528
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,DIMO+BOSC-2,2,34,169.021567,20.52818185
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,FLUO-2,2,30,169.021567,9.778803608
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,FLUZ-2,2,26,169.021567,22.30821037
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,PROCY-2,2,43,169.021567,15.28377408
5,2008/2009,Nova Ponte,MG,999,Northern,21,AACHECK-0,2,21,18.577978,3.109126351
5,2008/2009,Nova Ponte,MG,999,Northern,21,DIMO+BOSC-2,2,8,18.577978,3.403429643
5,2008/2009,Nova Ponte,MG,999,Northern,21,FLUO-2,2,5,18.577978,3.201562119
5,2008/2009,Nova Ponte,MG,999,Northern,21,FLUZ-2,2,7,18.577978,2.753785274
5,2008/2009,Nova Ponte,MG,999,Northern,21,PROCY-2,2,9,18.577978,1.414213562
6,2009/2010,Montividiu,GO,921,Northern,90.3,AACHECK-0,3,90.3,76.29025,3.28744455
6,2009/2010,Montividiu,GO,921,Northern,90.3,DIMO+BOSC-2,3,75.9,76.29025,6.155536126
6,2009/2010,Montividiu,GO,921,Northern,90.3,FLUO-2,3,74.7,76.29025,5.625
6,2009/2010,Montividiu,GO,921,Northern,90.3,FLUZ-2,3,54.1,76.29025,12.17814812
6,2009/2010,Montividiu,GO,921,Northern,90.3,PROCY-2,3,66.9,76.29025,8.196798155
6,2009/2010,Montividiu,GO,921,Northern,90.3,TIOF-4,3,79.1,76.29025,2.366211811
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,39.4,AACHECK-0,3,39.4,39.001902,11.09257713
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,39.4,DIMO+BOSC-2,3,5,39.001902,2.939723679
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,39.4,FLUO-2,3,4.4,39.001902,3.271022543
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,39.4,FLUZ-2,3,7.8,39.001902,1.571348403
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,39.4,PROCY-2,3,8.3,39.001902,4.303314829
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,39.4,TIOF-4,3,11.4,39.001902,1.666666667
8,2009/2010,Água Fria,GO,891,Northern,37.7,AACHECK-0,3,37.7,14.726398,5.822739981
8,2009/2010,Água Fria,GO,891,Northern,37.7,DIMO+BOSC-2,3,1.1,14.726398,2.173913043
8,2009/2010,Água Fria,GO,891,Northern,37.7,FLUO-2,3,3.7,14.726398,3.145971452
8,2009/2010,Água Fria,GO,891,Northern,37.7,FLUZ-2,3,5.6,14.726398,3.996883614
8,2009/2010,Água Fria,GO,891,Northern,37.7,PROCY-2,3,1,14.726398,2.083333333
8,2009/2010,Água Fria,GO,891,Northern,37.7,TIOF-4,3,11.6,14.726398,1.808428311
9,2009/2010,Campo Verde,MT,985,Northern,43.7,AACHECK-0,4,43.7,130.798611,7.216878365
9,2009/2010,Campo Verde,MT,985,Northern,43.7,FLUO-2,4,17.2,130.798611,5.983919423
9,2009/2010,Campo Verde,MT,985,Northern,43.7,FLUZ-2,4,21.9,130.798611,18.75
9,2009/2010,Campo Verde,MT,985,Northern,43.7,PROCY-2,4,14.1,130.798611,10.67390705
9,2009/2010,Campo Verde,MT,985,Northern,43.7,TIOF-4,4,38.2,130.798611,10.67390705
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,AACHECK-0,5,16.5,35.14249,14.79838855
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,FLUZ-2,5,4,35.14249,6.511535067
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,PROCY-2,5,7.8,35.14249,7.454360385
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,TIOF-4,5,9.8,35.14249,7.649317287
11,2009/2010,Uberlândia,MG,947,Northern,32,AACHECK-0,3,32,10.040404,6.055300708
11,2009/2010,Uberlândia,MG,947,Northern,32,DIMO+BOSC-2,3,2.7,10.040404,1.707825128
11,2009/2010,Uberlândia,MG,947,Northern,32,FLUO-2,3,3.4,10.040404,4.607511982
11,2009/2010,Uberlândia,MG,947,Northern,32,FLUZ-2,3,4.5,10.040404,1.914854216
11,2009/2010,Uberlândia,MG,947,Northern,32,PROCY-2,3,5.5,10.040404,5.744562647
11,2009/2010,Uberlândia,MG,947,Northern,32,TIOF-4,3,8.2,10.040404,3.095695937
12,2009/2010,Pilar do Sul,SP,800,Southern,55,AACHECK-0,3,55,80.36364,20.81665999
12,2009/2010,Pilar do Sul,SP,800,Southern,55,DIMO+BOSC-2,3,8.75,80.36364,2.449489743
12,2009/2010,Pilar do Sul,SP,800,Southern,55,FLUO-2,3,5.25,80.36364,6.782329983
12,2009/2010,Pilar do Sul,SP,800,Southern,55,FLUZ-2,3,7,80.36364,7.088723439
12,2009/2010,Pilar do Sul,SP,800,Southern,55,PROCY-2,3,3.25,80.36364,2.362907813
12,2009/2010,Pilar do Sul,SP,800,Southern,55,TIOF-4,3,14.5,80.36364,10.90489187
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,AACHECK-0,3,40.6,18.632615,5.253966755
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,DIMO+BOSC-2,3,10,18.632615,4.254287053
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,FLUO-2,3,9.4,18.632615,2.393567769
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,FLUZ-2,3,17.5,18.632615,3.227486122
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,PROCY-2,3,15.6,18.632615,3.886407939
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,TIOF-4,3,24.3,18.632615,5.983919423
14,2010/2011,Montividiu,GO,921,Northern,43.1,AACHECK-0,3,43.1,28.371011,9.655525189
14,2010/2011,Montividiu,GO,921,Northern,43.1,DIMO+BOSC-2,3,5.3,28.371011,2.101586702
14,2010/2011,Montividiu,GO,921,Northern,43.1,FLUO-2,3,5.8,28.371011,1.5
14,2010/2011,Montividiu,GO,921,Northern,43.1,FLUZ-2,3,3.1,28.371011,1.25
14,2010/2011,Montividiu,GO,921,Northern,43.1,PROCY-2,3,11.9,28.371011,2.393567769
14,2010/2011,Montividiu,GO,921,Northern,43.1,TIOF-4,3,26.9,28.371011,7.465197028
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,AACHECK-0,3,31.28,29.995576,4.694944089
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,DIMO+BOSC-2,3,9.38,29.995576,3.145764348
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,FLUO-2,3,8.8,29.995576,3.535533906
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,FLUZ-2,3,9.08,29.995576,3.12343294
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,PROCY-2,3,10.63,29.995576,2.393567769
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,TIOF-4,3,20.03,29.995576,5.848860288
16,2010/2011,Silvânia,GO,1050,Northern,36.8,AACHECK-0,3,36.8,30.884916,8.883833632
16,2010/2011,Silvânia,GO,1050,Northern,36.8,DIMO+BOSC-2,3,5.8,30.884916,3.914396505
16,2010/2011,Silvânia,GO,1050,Northern,36.8,FLUO-2,3,5,30.884916,2.127596453
16,2010/2011,Silvânia,GO,1050,Northern,36.8,FLUZ-2,3,6,30.884916,3.756327994
16,2010/2011,Silvânia,GO,1050,Northern,36.8,PROCY-2,3,8.8,30.884916,1.201388086
16,2010/2011,Silvânia,GO,1050,Northern,36.8,TIOF-4,3,12.3,30.884916,6.291528696
17,2010/2011,Água Fria,GO,891,Northern,36,AACHECK-0,3,36,4.945636,2.996664813
17,2010/2011,Água Fria,GO,891,Northern,36,DIMO+BOSC-2,3,4,4.945636,2.393567769
17,2010/2011,Água Fria,GO,891,Northern,36,FLUO-2,3,2,4.945636,1.556438242
17,2010/2011,Água Fria,GO,891,Northern,36,FLUZ-2,3,6,4.945636,1.589549202
17,2010/2011,Água Fria,GO,891,Northern,36,PROCY-2,3,4,4.945636,0.65
17,2010/2011,Água Fria,GO,891,Northern,36,TIOF-4,3,12,4.945636,3.711693234
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,AACHECK-0,3,64.5,264.442424,13.89244399
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,DIMO+BOSC-2,3,25,264.442424,11.19523708
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,FLUO-2,3,56.5,264.442424,12.79322737
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,FLUZ-2,3,12.5,264.442424,5
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,PROCY-2,3,9.3,264.442424,8.850612032
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,TIOF-4,3,46.3,264.442424,22.77425447
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,AACHECK-0,3,15.4,4.945636,2.996664813
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,DIMO+BOSC-2,3,0.5,4.945636,2.393567769
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,FLUO-2,3,11,4.945636,1.556438242
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,FLUZ-2,3,3.4,4.945636,1.589549202
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,PROCY-2,3,2.4,4.945636,0.65
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,TIOF-4,3,6.1,4.945636,3.711693234
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,AACHECK-0,3,42.1,10.460742,5.790221642
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,DIMO+BOSC-2,3,7.8,10.460742,0.65
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,FLUO-2,3,7.5,10.460742,2.28235989
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,FLUZ-2,3,7.8,10.460742,2.142234036
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,PROCY-2,3,12.8,10.460742,2.599198594
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,TIOF-4,3,27.2,10.460742,5.362446581
21,2011/2012,Goianira,GO,737,Northern,34.7,AACHECK-0,3,34.7,10.225731,6.421448435
21,2011/2012,Goianira,GO,737,Northern,34.7,DIMO+BOSC-2,3,10.8,10.225731,3.543421134
21,2011/2012,Goianira,GO,737,Northern,34.7,FLUO-2,3,7.1,10.225731,1.57770931
21,2011/2012,Goianira,GO,737,Northern,34.7,FLUZ-2,3,15.9,10.225731,3.586084215
21,2011/2012,Goianira,GO,737,Northern,34.7,PROCY-2,3,16.4,10.225731,2.862982128
21,2011/2012,Goianira,GO,737,Northern,34.7,TIOF-4,3,25,10.225731,3.535533906
22,2011/2012,Uberlândia,MG,947,Northern,46.3,AACHECK-0,3,46.3,26.166667,4.787135539
22,2011/2012,Uberlândia,MG,947,Northern,46.3,DIMO+BOSC-2,3,23.3,26.166667,3.862210075
22,2011/2012,Uberlândia,MG,947,Northern,46.3,FLUO-2,3,16.8,26.166667,3.201562119
22,2011/2012,Uberlândia,MG,947,Northern,46.3,FLUZ-2,3,21,26.166667,4.760952286
22,2011/2012,Uberlândia,MG,947,Northern,46.3,PROCY-2,3,21,26.166667,4.69041576
22,2011/2012,Uberlândia,MG,947,Northern,46.3,TIOF-4,3,16.5,26.166667,8.888194417
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,AACHECK-0,3,67.5,79.924242,19.31105038
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,DIMO+BOSC-2,3,8.8,79.924242,4.787135539
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,FLUO-2,3,11.3,79.924242,10.30776406
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,FLUZ-2,3,23.8,79.924242,10.30776406
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,PROCY-2,3,13.8,79.924242,8.539125638
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,TIOF-4,3,15,79.924242,7.071067812
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,AACHECK-0,3,20.5,18.316667,8.6986589
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,DIMO+BOSC-2,3,5.5,18.316667,2.081665999
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,FLUO-2,3,5.2,18.316667,4.787135539
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,FLUZ-2,3,8.2,18.316667,3.403429643
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,PROCY-2,3,9.25,18.316667,5.737304826
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,TIOF-4,3,11.2,18.316667,4.787135539
25,2011/2012,Palmeira,PR,820,Southern,55,AACHECK-0,3,55,21.098485,7.071067812
25,2011/2012,Palmeira,PR,820,Southern,55,DIMO+BOSC-2,3,6.3,21.098485,4.787135539
25,2011/2012,Palmeira,PR,820,Southern,55,FLUO-2,3,7.5,21.098485,6.454972244
25,2011/2012,Palmeira,PR,820,Southern,55,FLUZ-2,3,11.3,21.098485,7.5
25,2011/2012,Palmeira,PR,820,Southern,55,PROCY-2,3,15,21.098485,4.082482905
25,2011/2012,Palmeira,PR,820,Southern,55,TIOF-4,3,33.8,21.098485,4.787135539
26,2011/2012,Palmeira,PR,820,Southern,47.5,AACHECK-0,3,47.5,8.863636,6.454972244
26,2011/2012,Palmeira,PR,820,Southern,47.5,DIMO+BOSC-2,3,2.5,8.863636,2.886751346
26,2011/2012,Palmeira,PR,820,Southern,47.5,FLUO-2,3,2.5,8.863636,2.886751346
26,2011/2012,Palmeira,PR,820,Southern,47.5,FLUZ-2,3,5,8.863636,2
26,2011/2012,Palmeira,PR,820,Southern,47.5,PROCY-2,3,6.25,8.863636,2.5
26,2011/2012,Palmeira,PR,820,Southern,47.5,TIOF-4,3,15,8.863636,1.5
27,2011/2012,São Desiderio,BA,844,Northern,100,AACHECK-0,3,100,121.948653,10
27,2011/2012,São Desiderio,BA,844,Northern,100,DIMO+BOSC-2,3,93.75,121.948653,7.978559231
27,2011/2012,São Desiderio,BA,844,Northern,100,FLUO-2,3,97.92,121.948653,4.166666667
27,2011/2012,São Desiderio,BA,844,Northern,100,FLUZ-2,3,85.42,121.948653,19.69089844
27,2011/2012,São Desiderio,BA,844,Northern,100,PROCY-2,3,89.58,121.948653,15.77474541
27,2011/2012,São Desiderio,BA,844,Northern,100,TIOF-4,3,89.58,121.948653,15.77474541
28,2011/2012,Montividiu,GO,921,Northern,24.38,AACHECK-0,3,24.38,30.486742,16.5044186
28,2011/2012,Montividiu,GO,921,Northern,24.38,DIMO+BOSC-2,3,1.88,30.486742,2.393567769
28,2011/2012,Montividiu,GO,921,Northern,24.38,FLUO-2,3,3.13,30.486742,3.75
28,2011/2012,Montividiu,GO,921,Northern,24.38,FLUZ-2,3,1.88,30.486742,2.393567769
28,2011/2012,Montividiu,GO,921,Northern,24.38,PROCY-2,3,4.75,30.486742,0.5
28,2011/2012,Montividiu,GO,921,Northern,24.38,TIOF-4,3,8.75,30.486742,3.227486122
29,2011/2012,Campo Verde,MT,736,Northern,3.65,AACHECK-0,3,3.65,6.573256,2.966667967
29,2011/2012,Campo Verde,MT,736,Northern,3.65,DIMO+BOSC-2,3,0.5,6.573256,0.5
29,2011/2012,Campo Verde,MT,736,Northern,3.65,FLUO-2,3,0.35,6.573256,0.4009376869
29,2011/2012,Campo Verde,MT,736,Northern,3.65,FLUZ-2,3,0.35,6.573256,0.4009376869
29,2011/2012,Campo Verde,MT,736,Northern,3.65,PROCY-2,3,0.35,6.573256,0.6944444444
29,2011/2012,Campo Verde,MT,736,Northern,3.65,TIOF-4,3,4.17,6.573256,7.877175707
30,2011/2012,Faxinal,PR,991,Southern,36.75,AACHECK-0,3,36.75,59.008523,6.28738817
30,2011/2012,Faxinal,PR,993,Southern,36.75,DIMO+BOSC-2,3,11.5,59.008523,1.629800601
30,2011/2012,Faxinal,PR,994,Southern,36.75,FLUO-2,3,10.25,59.008523,2.709935424
30,2011/2012,Faxinal,PR,995,Southern,36.75,FLUZ-2,3,17.75,59.008523,4.275657844
30,2011/2012,Faxinal,PR,997,Southern,36.75,PROCY-2,3,22.75,59.008523,10.43581573
30,2011/2012,Faxinal,PR,998,Southern,36.75,TIOF-4,3,34,59.008523,15.37042615
31,2011/2012,Capão Bonito,SP,730,Southern,5,AACHECK-0,3,5,2.249106,4.082482905
31,2011/2012,Capão Bonito,SP,730,Southern,5,DIMO+BOSC-2,3,1.5,2.249106,1.914854216
31,2011/2012,Capão Bonito,SP,730,Southern,5,FLUO-2,3,0.5,2.249106,0.5
31,2011/2012,Capão Bonito,SP,730,Southern,5,FLUZ-2,3,1,2.249106,1.154700538
31,2011/2012,Capão Bonito,SP,730,Southern,5,PROCY-2,3,0.5,2.249106,1
31,2011/2012,Capão Bonito,SP,730,Southern,5,TIOF-4,3,1.5,2.249106,1.290994449
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,AACHECK-0,3,7.5,6.9444444,8.660254038
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,DIMO+BOSC-2,3,0.5,6.9444444,0.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,FLUO-2,3,0.5,6.9444444,0.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,FLUZ-2,3,0.5,6.9444444,0.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,PROCY-2,3,1.25,6.9444444,2.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,TIOF-4,3,0.5,6.9444444,0.5
33,2012/2013,Rio Verde,GO,748,Northern,31.56,AACHECK-0,2,31.56,25.4631076,2.771694728
33,2012/2013,Rio Verde,GO,748,Northern,31.56,DIMO+BOSC-2,2,9.06,25.4631076,3.125
33,2012/2013,Rio Verde,GO,748,Northern,31.56,FLUO-2,2,13.75,25.4631076,3.952847075
33,2012/2013,Rio Verde,GO,748,Northern,31.56,FLUZ-2,2,11.25,25.4631076,3.679900361
33,2012/2013,Rio Verde,GO,748,Northern,31.56,PROCY-2,2,11.88,25.4631076,3.145764348
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,AACHECK-0,2,25.94,13.0129419,6.721777419
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,DIMO+BOSC-2,2,9.06,13.0129419,1.572882174
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,FLUO-2,2,11.25,13.0129419,2.886751346
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,FLUZ-2,2,11.25,13.0129419,3.227486122
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,PROCY-2,2,9.38,13.0129419,4.38985573
35,2012/2013,Jataí,GO,749,Northern,12.13,AACHECK-0,2,12.13,22.249053,1.108677891
35,2012/2013,Jataí,GO,749,Northern,12.13,DIMO+BOSC-2,2,0.5,22.249053,0.7071067812
35,2012/2013,Jataí,GO,749,Northern,12.13,FLUO-2,2,1.63,22.249053,2.25
35,2012/2013,Jataí,GO,749,Northern,12.13,FLUZ-2,2,0.75,22.249053,0.9574271078
35,2012/2013,Jataí,GO,749,Northern,12.13,PROCY-2,2,1.75,22.249053,1.443375673
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,AACHECK-0,2,7.23,0.9201578,1.192686044
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,DIMO+BOSC-2,2,0.33,0.9201578,0.65
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,FLUO-2,2,0.33,0.9201578,0.65
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,FLUZ-2,2,0.33,0.9201578,0.65
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,PROCY-2,2,0.65,0.9201578,0.7505553499
37,2012/2013,Faxinal,PR,820,Southern,58.25,AACHECK-0,2,58.25,74.4761865,4.558645632
37,2012/2013,Faxinal,PR,820,Southern,58.25,DIMO+BOSC-2,2,19,74.4761865,10.80364522
37,2012/2013,Faxinal,PR,820,Southern,58.25,FLUO-2,2,22,74.4761865,7.531185166
37,2012/2013,Faxinal,PR,820,Southern,58.25,FLUZ-2,2,40.75,74.4761865,9.826622004
37,2012/2013,Faxinal,PR,820,Southern,58.25,PROCY-2,2,42,74.4761865,6.34921255
38,2012/2013,Uberlândia,MG,947,Northern,21.68,AACHECK-0,2,21.68,5.4541477,2.778938646
38,2012/2013,Uberlândia,MG,947,Northern,21.68,DIMO+BOSC-2,2,8.8,5.4541477,5.372150407
38,2012/2013,Uberlândia,MG,947,Northern,21.68,FLUO-2,2,0.5,5.4541477,0.5
38,2012/2013,Uberlândia,MG,947,Northern,21.68,FLUZ-2,2,0.5,5.4541477,0.5
38,2012/2013,Uberlândia,MG,947,Northern,21.68,PROCY-2,2,1.25,5.4541477,1.040833
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,AACHECK-0,2,14.69,4.3096985,5.038911093
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,DIMO+BOSC-2,2,0.94,4.3096985,0.625
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,FLUO-2,2,4.69,4.3096985,2.771694728
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,FLUZ-2,2,3.13,4.3096985,2.165063509
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,PROCY-2,2,3.75,4.3096985,1.767766953
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,AACHECK-0,1,16.25,40.8386752,13.1497782
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,CARB+PROCY-2,1,0.5,40.8386752,0.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,DIMO+BOSC-2,1,0.5,40.8386752,0.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,FLUO-2,1,3.75,40.8386752,7.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,FLUZ-2,1,7.5,40.8386752,8.660254038
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,PROCY-2,1,3.75,40.8386752,7.5
